Year,State,Rate,Deaths,Percentage,Lower Limit, Upper Limit,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Newly Diagnosed Diabetes (Rate per 1000),Newly Diagnosed Physical Inactivity (Percentage) ,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2016,Missouri,20.1,"1,508",14.7,11.2,19.1,8.458260869565217,25.851304347826087,10.8,20.38347826086957,3.6,14.1,25.1,23.6
2016,Montana,23.6,311,9.6,6.1,14.6,7.553571428571429,24.34464285714285,7.1,18.410714285714285,1.6,10.5,16.5,17.4
2016,Nebraska,21.9,501,11.6,9.1,14.7,7.578494623655914,29.352688172043013,7.1,21.79784946236559,2.5,11.5,19.2,19.0
2016,Nevada,17.9,580,13,9.9,16.9,7.823529411764706,24.22941176470588,6.6,19.064705882352943,3.1,14.3,24.2,25.3
2016,New Hampshire,17.9,316,12.4,8.7,17.5,7.67,27.410000000000004,6.0,19.3,2.4,10.0,18.8,21.8
2016,New Jersey,17.8,"1,949",13.5,10.3,17.5,8.085714285714285,26.74761904761905,6.8,24.0,2.0,11.3,23.3,19.1
2016,New Mexico,27.2,678,17.2,14.1,20.8,8.503030303030304,25.46060606060606,7.2,19.74848484848485,3.6,15.5,25.3,19.2
2016,New York,16.9,"4,038",16.2,14.3,18.3,8.774193548387096,29.345161290322583,8.8,22.84032258064516,2.5,13.8,23.7,22.7
2016,North Carolina,23.5,"2,811",14.7,12.2,17.5,8.902999999999999,26.229,10.5,20.647,2.8,15.6,24.1,21.4
2016,North Dakota,19.4,171,10.9,7.2,16.2,7.60188679245283,27.335849056603774,7.3,20.70754716981132,2.9,11.4,19.2,18.3
2016,Ohio,24.6,"3,568",15,11.9,18.6,9.181818181818182,29.6125,8.5,23.204545454545453,2.7,14.6,24.0,21.2
2016,Oklahoma,30.8,"1,393",17.2,14,21,9.174025974025971,27.7012987012987,10.7,23.65064935064935,3.5,17.2,24.4,21.3
2016,Oregon,24.0,"1,240",14.1,10.9,18.1,7.947222222222223,26.336111111111112,8.0,16.572222222222223,3.0,11.6,20.9,18.1
2016,Pennsylvania,20.3,"3,560",16.3,12.9,20.3,8.285074626865672,27.48059701492537,8.8,20.15820895522388,2.8,13.4,26.7,21.3
2016,Rhode Island,16.9,239,12.4,9.5,16,7.479999999999999,25.16,6.9,19.76,2.3,13.7,20.4,18.1
2016,South Carolina,22.3,"1,369",15,12.9,17.5,11.332608695652173,32.86521739130435,10.8,25.880434782608692,3.6,17.1,26.0,26.4
2016,South Dakota,23.7,253,9.3,5.8,14.5,7.856060606060606,25.392424242424244,9.1,17.62878787878788,1.1,11.2,18.2,16.0
2016,Texas,20.3,"5,470",15.6,13,18.6,7.579527559055118,21.27716535433071,11.4,16.816929133858267,2.8,17.0,27.3,23.2
2016,Utah,24.6,624,9.7,7.2,12.9,7.662068965517241,24.85862068965517,7.5,17.158620689655173,1.9,10.6,21.2,19.5
2016,Vermont,20.5,166,10.9,7.9,14.8,7.207142857142857,26.314285714285717,6.1,18.557142857142857,3.1,8.7,16.7,19.2
2016,Virginia,21.7,"2,062",14.1,11.7,17,8.536090225563909,24.625563909774435,10.7,19.322556390977443,2.6,13.7,24.2,24.0
2016,Washington,20.3,"1,673",12.1,9.9,14.8,7.994871794871795,28.48205128205128,6.8,17.392307692307693,2.6,12.7,19.3,21.1
2016,West Virginia,34.8,860,17.5,14.6,20.7,10.007272727272726,31.745454545454542,12.2,23.62545454545455,4.5,19.7,28.5,23.1
2016,Wisconsin,19.9,"1,440",12.5,8.8,17.4,7.547222222222222,27.244444444444444,7.5,17.80138888888889,2.5,12.6,20.1,20.6
2016,Wyoming,16.6,112,11.6,7.6,17.4,7.256521739130435,25.86086956521739,6.4,20.969565217391303,2.2,10.8,17.3,20.6
2018,Alabama,19.4,1176,18.3,15.1,22,11.208955223880595,30.91044776119403,13.3,25.37014925373134,3.8,19.2,29.5,28.6
2018,Alaska,17.7,122,9.1,5.5,14.5,8.070370370370371,26.44074074074074,9.5,19.0,3.5,12.8,17.3,18.3
2018,Arizona,22.4,2046,15.3,11.3,20.3,9.333333333333334,29.85333333333333,8.2,21.34,3.5,13.6,22.9,19.3
2018,Arkansas,32.3,1194,16.8,13.2,21,9.609333333333334,28.328,12.0,25.06,4.8,18.7,28.6,20.9
2018,California,21.4,9506,15.4,13.6,17.4,7.953448275862069,24.11206896551724,7.8,17.641379310344828,2.6,14.4,24.9,22.3
2018,Colorado,16.1,974,12.2,10,14.7,6.8453125,21.1328125,7.4,15.278125,2.1,9.1,16.3,16.2
2018,Connecticut,14.6,708,16.4,13.4,20,7.7125,26.9375,7.0,18.975,2.5,12.0,18.9,21.7
2018,Delaware,18.8,238,13.5,10.6,17.1,10.433333333333334,34.266666666666666,8.6,27.666666666666668,2.6,16.8,22.5,21.0
2018,Florida,19.8,6204,15.1,11.9,19,10.073134328358208,30.628358208955223,8.6,27.177611940298508,4.0,14.8,25.4,20.9
2018,Georgia,22.1,2471,16.1,13.8,18.8,9.10188679245283,24.154088050314467,13.3,20.209433962264157,3.2,16.8,29.9,27.8
2018,Hawaii,16.1,316,14.6,10.5,19.9,8.74,23.26,9.8,17.28,3.8,15.7,21.3,20.3
2018,Idaho,20.3,408,15.8,11.6,21.2,7.943181818181818,25.95,9.1,18.85909090909091,3.0,12.8,21.9,21.7
2018,Illinois,18.6,2878,12.8,10.1,16.2,7.552941176470588,22.725490196078432,13.6,17.054901960784314,2.5,13.4,23.8,19.1
2018,Indiana,26.0,2093,16.8,13.6,20.5,9.21195652173913,29.38913043478261,10.8,23.244565217391305,3.8,16.2,27.3,23.6
2018,Iowa,21.9,898,11.9,9.2,15.1,7.906060606060606,30.35050505050505,8.4,20.10606060606061,3.1,11.7,21.1,21.6
2018,Kansas,22.6,803,15,12.2,18.1,8.484761904761905,29.377142857142857,9.7,21.379047619047626,3.7,14.4,26.3,22.3
2018,Kentucky,27.9,1506,18,14.5,22.2,9.450833333333332,30.04416666666667,11.2,24.3875,3.7,18.1,27.9,27.1
2018,Louisiana,26.9,1457,14.7,11.6,18.4,9.946875,28.9578125,13.1,22.94375,3.5,21.5,26.8,27.5
2018,Maine,23.4,478,14.6,10.7,19.5,8.36875,30.0625,8.0,20.38125,3.2,11.8,18.8,22.0
2018,Maryland,19.6,1419,17.7,15,20.9,10.0125,32.483333333333334,8.3,22.5125,3.4,16.6,23.0,24.1
2018,Massachusetts,15.8,1391,11.3,8.4,15,7.378571428571428,24.24285714285714,6.4,18.564285714285717,2.8,9.9,19.0,19.0
2018,Michigan,21.9,2824,17.3,14.1,21.2,8.321686746987952,28.23253012048193,9.4,19.6855421686747,3.1,15.1,22.1,24.9
2018,Minnesota,18.8,1308,12.5,10.2,15.2,7.811494252873564,29.52413793103448,7.1,20.10114942528736,2.4,11.2,19.2,19.7
2018,Mississippi,30.6,1074,18.4,15.1,22.3,10.928048780487805,31.332926829268292,13.0,25.589024390243903,4.8,17.1,32.8,28.7
2018,Missouri,20.8,1606,10.3,7.7,13.6,8.405217391304348,26.293913043478263,9.7,21.03043478260869,3.6,14.6,23.9,21.9
2018,Montana,19.1,267,10.9,7.3,15.9,7.817857142857143,25.414285714285715,8.7,19.90714285714285,2.7,11.5,16.4,21.2
2018,Nebraska,26.0,596,10.6,8.6,13,7.908602150537634,30.810752688172045,8.3,22.048387096774192,2.9,12.7,18.6,22.4
2018,Nevada,19.2,674,12.9,9.3,17.7,8.13529411764706,25.11764705882353,9.8,19.011764705882356,2.3,13.7,24.3,26.3
2018,New Hampshire,17.3,319,15,11.1,20.1,8.08,29.27,6.5,20.08,2.3,13.8,18.2,20.8
2018,New Jersey,16.6,1880,16,11,22.6,8.861904761904762,27.58571428571428,7.6,24.952380952380956,3.3,11.2,27.4,23.1
2018,New Mexico,26.1,685,16.1,13.3,19.3,8.712121212121213,27.35151515151515,7.7,20.166666666666668,4.3,16.4,23.3,24.1
2018,New York,18.2,4519,14.7,12.9,16.8,9.201612903225806,30.71935483870968,8.3,22.86935483870968,2.9,13.9,24.9,23.1
2018,North Carolina,23.9,3013,15.6,12.2,19.9,8.992,25.975,11.4,19.848,2.9,17.0,27.5,23.1
2018,North Dakota,24.1,214,10.6,7.1,15.5,8.09811320754717,29.27547169811321,8.7,21.32075471698113,2.6,11.9,22.8,21.7
2018,Ohio,25.4,3845,13.7,10.7,17.2,9.682954545454546,32.29204545454545,10.0,24.135227272727278,3.6,15.2,24.6,25.0
2018,Oklahoma,29.0,1340,16.2,12.8,20.4,9.215584415584416,28.05844155844156,11.2,22.666233766233766,3.6,17.0,25.5,25.7
2018,Oregon,22.9,1224,15.7,12.2,20.1,8.149999999999999,27.58333333333333,8.4,17.697222222222223,5.0,13.7,18.2,19.7
2018,Pennsylvania,20.2,3603,16,11.8,21.3,8.350746268656716,28.08059701492537,9.5,19.444776119402984,4.2,13.4,21.0,21.8
2018,Rhode Island,17.2,249,19.2,15.1,24,7.640000000000001,25.96,6.0,19.68,2.4,14.7,22.9,21.3
2018,South Carolina,24.8,1580,16.5,14.1,19.2,11.786956521739132,33.971739130434784,11.2,26.32608695652174,3.9,17.4,26.1,24.6
2018,South Dakota,23.3,252,7.3,5,10.6,8.381818181818183,26.565151515151516,10.2,19.09090909090909,3.2,10.0,21.7,19.1
2018,Tennessee,24.5,2023,17.4,14,21.3,9.16736842105263,26.894736842105264,12.1,22.212631578947367,3.9,18.0,28.7,27.0
2018,Texas,21.1,5991,20.2,16.4,24.5,7.714566929133858,21.775196850393694,13.2,16.65511811023622,2.8,18.7,31.9,25.7
2018,Utah,23.5,629,15.3,12.2,19,7.872413793103449,26.451724137931038,7.6,17.093103448275862,2.3,13.2,21.8,19.5
2018,Vermont,18.2,156,14.2,10.3,19.2,7.378571428571428,27.335714285714285,6.9,18.42142857142857,2.1,11.5,18.3,17.6
2018,Virginia,22.9,2286,12.5,10.4,15,8.834586466165414,26.39548872180451,10.8,20.069172932330822,2.9,13.4,23.6,22.9
2018,Washington,20.4,1779,13.9,11.6,16.5,8.251282051282052,29.387179487179484,7.8,17.33076923076923,2.6,13.8,20.2,20.8
2018,Wisconsin,20.2,1508,13.8,10.1,18.5,7.480555555555556,27.88611111111111,7.5,17.63611111111111,1.6,10.9,18.3,20.6
2018,Wyoming,21.4,145,11.9,8,17.4,7.469565217391305,27.20434782608696,6.9,20.491304347826087,2.6,12.0,17.3,16.9
