Year,State,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Newly Diagnosed Diabetes (Rate per 1000),Newly Diagnosed Physical Inactivity (Percentage) 
2014,Michigan,8.110843373493976,27.220481927710846,7.840963855421686,19.563855421686746
2014,Minnesota,7.308045977011494,26.368965517241378,5.579310344827586,18.986206896551725
2014,Mississippi,10.174390243902439,28.39390243902439,12.873170731707315,25.803658536585367
2014,Missouri,8.012173913043478,25.406086956521737,8.434782608695652,20.605217391304347
2014,Montana,7.55,24.810714285714287,6.623214285714285,19.601785714285715
2014,Nebraska,7.486021505376344,28.412903225806453,6.316129032258064,21.49247311827957
2014,Nevada,7.517647058823529,23.688235294117646,6.7176470588235295,19.776470588235295
2014,New Hampshire,8.03,27.21,6.07,19.23
2014,New Jersey,8.4,26.390476190476193,6.633333333333334,21.98095238095238
2014,New Mexico,8.27878787878788,25.04848484848485,6.678787878787879,21.10909090909091
2014,New York,7.770967741935484,24.462903225806453,7.064516129032258,19.809677419354838
