country,diabetesRatesByCountry_in1000s_2021,diabetesRatesByCountry_percDiabetes2021,diabetesRatesByCountry_Undiag_per1000s_2021,diabetesRatesByCountry_MortalityAttributable_2021,diabetesRatesByCountry_in1000s_2011,diabetesRatesByCountry_percDiabetes2011,diabetesRatesByCountry_Undiag_per1000s_2011,diabetesRatesByCountry_MortalityAttributable_2011
Saint Lucia,15.9,11.7,5.6,317,8.6,8.4,-,79
Guam,23.3,19.1,10.6,-,10.3,8.6,-,-
Kiribati,14.1,22.1,7.8,336,15,25.3,-,162
Grenada,10.1,12.6,3.5,265,4.8,8.6,-,68
Micronesia,8.7,15.6,4.5,193,7.7,15.7,-,105
Tonga,7.4,15,3.8,88,6.1,12.7,-,98
Seychelles,6.6,8.5,3.1,91,3.5,12.1,-,18
Aruba,4.1,4.3,1.2,-,11.7,12.4,3.2,-
Saint Vincent and the Grenadines,6.5,8,2.3,131,5.8,8.8,-,78
United States Virgin Islands,12.4,12.4,3.6,-,11.8,12.1,-,-
Antigua and Barbuda,8.5,11.7,2.5,147,7.3,12.5,2,93
Isle of Man,5.1,6.3,1.7,-,-,-,-,-
Andorra,8,9.7,2.7,-,4.8,5.4,1.7,34
Dominica,6.3,11.7,2.2,-,3.9,8.9,-,35
Cayman Islands,6.1,13,1.8,-,4.4,12,-,-
Bermuda,6.9,13,2,-,6.5,12,-,-
Greenland,1.8,3.3,0.6,-,-,-,-,-
Faroe Islands,1.8,3.8,0.6,-,-,-,-,-
Northern Mariana Islands,8.3,23.4,3.7,-,-,-,-,-
Saint Kitts and Nevis,6.4,16.1,1.8,-,2.9,8.5,-,40
American Samoa,7.8,20.3,4,-,-,-,-,-
Marshall Islands,9.1,23,5.9,-,7,21.8,-,172
Liechtenstein,2.5,6.1,0.8,-,1.8,4.7,-,11
Monaco,2.7,6.2,0.9,-,2.1,5.6,-,12
San Marino,2.7,7.4,0.9,-,1.8,5.5,-,13
British Virgin Islands,1.9,8.7,0.5,-,1.3,8.6,-,-
Palau,1.9,17,0.9,-,1.4,11.1,-,17
Cook Islands,-,-,-,-,1,8.6,-,5
Anguilla,-,-,-,-,185.3,2.9,0.4,2384
Nauru,1.5,23.4,0.7,-,1.2,20.4,-,20
Tuvalu,1.6,20.3,1,-,1.1,19.2,-,21
Niue,-,-,-,-,0.1,9.8,-,-
Tokelau,-,-,-,-,0.1,11.5,-,-
