YEAR,STATE,RATE,DEATHS,STATE
2014,KY,23.4,"1,175",kentucky
2014,LA,24.8,"1,238",louisiana
2014,ME,22.4,414,maine
2014,MD,19.8,"1,305",maryland
2014,MA,14.5,"1,202",massachusetts
2014,MI,23.7,"2,844",michigan
2014,MN,18.7,"1,193",minnesota
2014,MS,30.4,"1,015",mississippi
2014,MO,19.4,"1,423",missouri
2014,MT,19.2,250,montana
2014,NE,21.5,473,nebraska
2014,NV,11.4,350,nevada
2014,NH,18,300,new hampshire
2014,NJ,19.3,"2,062",new jersey
2014,NM,27.5,671,new mexico
2014,NY,17.4,"4,064",new york
2014,NC,23.7,"2,687",north carolina
2014,ND,19.9,176,north dakota
2014,OH,25.7,"3,641",ohio
2014,OK,29.1,"1,261",oklahoma
2014,OR,22.4,"1,083",oregon
2014,PA,22,"3,765",pennsylvania
2014,RI,18.3,252,rhode island
2014,SC,21.8,"1,239",south carolina
2014,SD,21.3,224,south dakota
2014,TN,23.2,"1,727",tenessee
2014,TX,21.3,"5,348",texas
2014,UT,24.3,570,utah
2014,VT,18.7,154,vermont
2014,VA,18.5,"1,683",virginia
2014,WA,21.2,"1,668",washington
2014,WV,33.3,818,west virginia
2014,WI,19.1,"1,352",wisconsin
2014,WY,17.6,110,wyoming
2005,AL,29.8,"1,429",alabama
2005,AK,22.4,93,alaska
2005,AZ,20.4,"1,208",arizona
2005,AR,27.1,824,arkansas
2005,CA,23.8,"7,697",california
2005,CO,19.3,753,colorado
2005,CT,20,811,connecticut
2005,DE,26.4,233,delaware
2005,FL,22.7,"5,193",florida
2005,GA,23.2,"1,742",georgia
2005,HI,15.1,218,hawaii
2005,ID,22.4,299,idaho
2005,IL,24,"3,034",illinois
2005,IN,27,"1,719",indiana
2005,IA,20.1,727,iowa
2005,KS,23.8,710,kansas
2005,KY,27.8,"1,187",kentucky
2005,LA,38.7,"1,695",louisiana
2005,ME,24.7,385,maine
2005,MD,26,"1,388",maryland
2005,MA,17.7,"1,271",massachusetts
2005,MI,27.3,"2,842",michigan
2005,MN,23.6,"1,258",minnesota
2005,MS,23.5,677,mississippi
2005,MO,24.8,"1,549",missouri
2005,MT,26.7,285,montana
2005,NE,23.3,449,nebraska
2005,NV,15.3,336,nevada
2005,NH,23.4,310,new hampshire
2005,NJ,27.3,"2,540",new jersey
2005,NM,31.4,595,new mexico
2005,NY,19.7,"4,051",new york
2005,NC,26.2,"2,261",north carolina
2005,ND,26.2,204,north dakota
2005,OH,30.5,"3,794",ohio
2005,OK,32.6,"1,217",oklahoma
2005,OR,29.2,"1,149",oregon
2005,PA,23.1,"3,553",pennsylvania
2005,RI,22.3,282,rhode island
2005,SC,27.5,"1,187",south carolina
2005,SD,26.2,241,south dakota
2005,TN,30.3,"1,844",tenessee
2005,TX,29.7,"5,605",texas
2005,UT,31,541,utah
2005,VT,25.8,173,vermont
2005,VA,22.9,"1,642",virginia
2005,WA,25.5,"1,554",washington
2005,WV,34.5,766,west virginia
2005,WI,21,"1,276",wisconsin
2005,WY,25.8,130,wyoming
