Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2019.0,Arizona,3.2,15.1,19.8,21.8
2019.0,Arkansas,3.9,19.0,25.7,24.7
2019.0,California,2.6,13.9,23.6,21.7
2019.0,Colorado,2.2,9.2,15.1,16.2
2019.0,Connecticut,2.7,11.9,18.6,19.5
2019.0,Delaware,3.8,15.5,25.0,24.5
2019.0,District of Columbia,2.0,15.1,23.3,22.1
2019.0,Florida,2.3,14.0,22.5,24.8
2019.0,Georgia,4.0,16.2,23.4,26.3
2019.0,Hawaii,3.4,13.9,20.7,17.7
2019.0,Idaho,3.1,12.5,20.9,24.9
2019.0,Illinois,2.4,15.4,27.2,20.3
2019.0,Indiana,3.8,15.7,26.3,25.1
2019.0,Iowa,2.9,13.4,20.1,20.9
2019.0,Kansas,3.1,14.1,21.9,23.9
2019.0,Kentucky,3.2,18.7,26.1,25.3
2019.0,Louisiana,2.8,17.5,28.3,25.5
2019.0,Maine,3.3,12.3,19.7,17.8
2019.0,Maryland,2.8,14.7,22.3,23.4
2019.0,Massachusetts,2.2,10.2,18.1,19.0
2019.0,Michigan,2.7,13.8,23.7,22.2
2019.0,Minnesota,2.6,10.4,19.3,20.3
2019.0,Mississippi,3.8,20.5,30.8,29.1
2019.0,Missouri,2.6,13.1,21.5,22.1
2019.0,Montana,1.4,10.3,14.9,14.9
2019.0,Nebraska,2.6,13.8,21.7,20.7
2019.0,Nevada,4.1,13.7,21.9,21.3
2019.0,New Hampshire,3.7,10.2,16.9,18.1
2019.0,New Mexico,4.3,15.9,22.2,23.9
2019.0,New York,2.7,13.8,22.9,21.4
2019.0,North Carolina,3.6,15.2,23.7,24.2
2019.0,North Dakota,1.8,12.8,21.9,18.1
2019.0,Ohio,2.9,15.4,25.4,22.8
2019.0,Oklahoma,2.7,18.1,25.5,23.4
2019.0,Oregon,2.3,11.2,17.5,17.1
2019.0,Pennsylvania,2.9,13.1,21.0,22.7
2019.0,Rhode Island,2.4,13.9,21.0,21.9
2019.0,South Carolina,3.5,17.5,25.5,27.0
2019.0,South Dakota,2.9,13.1,22.4,22.8
2019.0,Tennessee,3.0,19.5,26.3,28.7
2019.0,Texas,3.6,17.8,27.7,25.2
2019.0,Utah,3.0,11.3,19.6,19.8
2019.0,Vermont,2.9,9.9,15.1,19.5
2019.0,Virginia,3.0,14.1,23.5,23.6
2019.0,Washington,2.8,12.5,18.9,20.4
2019.0,West Virginia,4.7,18.8,30.4,26.6
2019.0,Wisconsin,1.9,11.5,18.9,15.6
2019.0,Wyoming,1.8,8.5,18.1,21.1
2019.0,Guam,4.1,19.3,25.2,
2019.0,Puerto Rico,4.0,21.0,33.5,37.5
2020.0,Virgin Islands of the U.S.,,,,
2020.0,Alabama,4.2,20.2,28.8,25.8
2020.0,Alaska,1.7,10.4,19.5,20.4
2020.0,Arizona,3.4,14.4,22.2,20.2
2020.0,Arkansas,3.7,19.3,22.9,24.3
2020.0,California,3.2,14.0,19.1,20.0
2020.0,Colorado,2.1,9.7,16.0,20.4
2020.0,Connecticut,3.3,10.4,19.3,19.5
2020.0,Delaware,3.7,15.2,23.5,23.3
2020.0,District of Columbia,1.2,14.4,19.4,19.9
2020.0,Florida,2.7,13.3,24.6,23.0
2020.0,Georgia,3.1,15.6,23.8,28.2
2020.0,Hawaii,3.2,13.7,19.4,24.2
2020.0,Idaho,3.0,10.5,18.5,18.7
2020.0,Illinois,2.0,14.8,23.3,21.7
2020.0,Indiana,3.4,15.7,24.0,22.7
2020.0,Iowa,2.8,13.9,19.3,19.8
2020.0,Kansas,3.2,14.7,21.6,24.1
2020.0,Kentucky,3.7,17.9,25.5,22.4
2020.0,Louisiana,4.2,17.4,30.7,30.7
2020.0,Maine,2.4,12.7,17.1,20.9
2020.0,Maryland,3.2,12.7,20.5,22.0
2020.0,Massachusetts,2.3,11.2,18.9,17.2
2020.0,Michigan,3.2,16.2,23.5,23.9
2020.0,Minnesota,2.8,10.1,18.4,20.9
2020.0,Mississippi,5.0,19.6,31.3,21.6
2020.0,Missouri,3.1,13.4,23.5,20.2
2020.0,Montana,2.7,11.4,16.1,18.3
2020.0,Nebraska,3.1,12.6,20.4,20.8
2020.0,Nevada,3.6,13.2,29.0,15.7
2020.0,New Hampshire,2.5,10.9,15.8,18.0
2020.0,New Jersey,2.6,12.1,20.1,23.1
2020.0,New Mexico,4.5,15.4,23.8,23.4
2020.0,New York,2.8,13.1,20.9,22.7
2020.0,North Carolina,4.1,15.6,24.1,25.0
2020.0,North Dakota,3.2,14.5,19.7,18.6
2020.0,Ohio,4.6,15.3,23.2,22.4
2020.0,Oklahoma,4.3,18.0,23.2,26.3
2020.0,Oregon,3.7,10.2,18.4,21.8
2020.0,Pennsylvania,3.4,13.4,21.1,24.9
2020.0,Rhode Island,3.1,12.1,20.8,23.6
2020.0,South Carolina,4.1,19.1,22.9,24.0
2020.0,South Dakota,2.6,8.3,16.0,20.3
2020.0,Tennessee,4.7,18.2,26.7,27.4
2020.0,Texas,3.3,18.9,26.8,27.6
2020.0,Utah,1.9,12.7,22.2,21.8
2020.0,Vermont,2.6,9.5,13.3,16.0
2020.0,Virginia,2.4,14.9,24.1,23.5
2020.0,Washington,2.5,11.8,17.1,18.5
2020.0,West Virginia,4.7,19.6,27.3,28.1
2020.0,Wisconsin,2.1,10.7,18.5,20.2
2020.0,Wyoming,2.2,11.0,16.3,20.2
2020.0,Guam,5.8,25.4,22.9,
2020.0,Puerto Rico,2.9,17.6,38.8,36.9
2021.0,Florida,,,,
2021.0,Alabama,5.0,20.8,27.5,24.0
2021.0,Alaska,2.4,12.9,17.3,16.5
2021.0,Arizona,2.9,15.0,21.1,22.0
2021.0,Arkansas,3.3,16.2,25.2,24.3
2021.0,California,3.8,16.0,21.3,26.6
2021.0,Colorado,1.8,9.3,16.4,15.3
2021.0,Connecticut,2.9,14.4,18.9,21.8
2021.0,Delaware,3.1,14.3,20.9,27.4
2021.0,District of Columbia,2.6,12.2,18.0,20.3
2021.0,Georgia,3.9,16.1,25.5,26.3
2021.0,Hawaii,2.5,12.2,18.5,18.6
2021.0,Idaho,3.2,12.6,19.0,19.9
2021.0,Illinois,2.9,15.6,19.1,21.9
2021.0,Indiana,3.3,16.7,24.4,22.5
2021.0,Iowa,3.1,12.5,17.7,20.0
2021.0,Kansas,3.5,15.2,20.2,22.1
2021.0,Kentucky,4.9,19.8,24.3,20.3
2021.0,Louisiana,4.9,18.3,24.9,26.4
2021.0,Maine,2.2,12.2,20.4,18.6
2021.0,Maryland,3.0,14.8,22.3,21.5
2021.0,Massachusetts,2.4,11.2,19.3,17.4
2021.0,Michigan,3.0,14.2,19.8,21.2
2021.0,Minnesota,2.7,10.5,19.8,19.3
2021.0,Mississippi,5.5,19.6,27.7,30.4
2021.0,Missouri,3.0,16.6,20.4,19.2
2021.0,Montana,3.2,10.1,16.8,17.1
2021.0,Nebraska,2.6,13.1,20.3,18.8
2021.0,Nevada,3.1,14.4,24.9,25.3
2021.0,New Hampshire,2.5,10.4,16.5,16.8
2021.0,New Jersey,2.4,12.5,22.8,21.1
2021.0,New Mexico,4.6,19.1,21.0,22.6
2021.0,New York,2.8,16.4,20.7,22.6
2021.0,North Carolina,2.8,16.8,25.0,28.7
2021.0,North Dakota,3.0,12.5,19.9,21.3
2021.0,Ohio,3.7,15.9,25.1,23.4
2021.0,Oklahoma,3.3,18.7,24.7,25.8
2021.0,Oregon,3.1,11.1,16.9,23.9
2021.0,Pennsylvania,3.4,13.2,20.0,23.6
2021.0,Rhode Island,3.5,12.8,21.2,19.4
2021.0,South Carolina,4.6,17.3,25.2,25.3
2021.0,South Dakota,2.6,16.0,16.4,24.8
2021.0,Tennessee,3.3,19.5,27.4,27.4
2021.0,Texas,4.6,14.1,25.1,26.4
2021.0,Utah,2.4,12.2,18.9,19.3
2021.0,Vermont,2.3,10.7,15.9,14.9
2021.0,Virginia,2.8,15.9,23.2,23.0
2021.0,Washington,2.4,11.8,17.6,18.7
2021.0,West Virginia,4.7,19.9,28.2,26.9
2021.0,Wisconsin,2.8,11.8,17.0,17.3
2021.0,Wyoming,2.3,10.8,18.6,18.5
2021.0,Guam,3.3,22.3,22.6,
2021.0,Puerto Rico,3.4,22.1,33.5,36.9
2021.0,Virgin Islands of the U.S.,,,,
,,,,,
