Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2002.0,Oregon,2.0,9.1,13.7,12.8
2002.0,Pennsylvania,2.7,8.7,20.7,18.3
2002.0,Rhode Island,1.4,6.7,13.8,17.6
2002.0,South Carolina,2.9,12.1,18.6,18.9
2002.0,South Dakota,2.0,8.4,14.1,14.9
2002.0,Tennessee,2.6,14.0,16.2,17.1
2002.0,Texas,1.8,12.4,17.4,16.3
2002.0,Utah,1.6,6.2,12.4,16.7
2002.0,Vermont,2.2,8.1,13.6,10.8
2002.0,Virginia,2.3,8.4,16.9,14.5
2002.0,Washington,1.8,8.7,12.9,15.3
2002.0,West Virginia,2.4,15.1,21.0,20.4
2002.0,Wisconsin,1.8,6.3,12.4,12.0
2002.0,Wyoming,2.2,7.4,10.9,16.2
2002.0,Guam,3.4,15.5,,
2002.0,Puerto Rico,2.4,16.5,29.9,23.2
2002.0,Virgin Islands of the U.S.,2.1,14.2,24.0,25.6
2003.0,Alabama,3.4,12.2,18.4,16.4
2003.0,Alaska,2.2,6.9,15.1,
2003.0,Arizona,1.9,8.2,16.3,15.2
2003.0,Arkansas,2.3,10.8,17.0,12.3
2003.0,California,3.4,9.7,19.3,13.0
2003.0,Colorado,1.6,7.1,12.6,11.1
2003.0,Connecticut,1.9,7.2,15.7,13.1
2003.0,Delaware,2.5,11.1,18.4,13.8
2003.0,District of Columbia,2.7,12.1,23.6,20.1
2003.0,Florida,2.6,12.9,14.3,14.0
2003.0,Georgia,2.8,12.0,21.4,15.4
2003.0,Hawaii,1.9,11.0,20.4,13.3
2003.0,Idaho,2.4,9.1,14.2,12.9
2003.0,Illinois,2.6,10.7,14.9,18.3
2003.0,Indiana,2.1,11.7,19.2,15.8
2003.0,Iowa,1.5,8.3,17.9,15.5
2003.0,Kansas,2.0,7.6,13.9,15.1
2003.0,Kentucky,2.7,12.9,19.7,15.1
2003.0,Louisiana,2.7,13.1,19.8,16.8
2003.0,Maine,1.9,8.6,17.7,20.3
2003.0,Maryland,2.4,8.6,21.7,16.2
2003.0,Massachusetts,1.8,7.5,16.9,14.8
2003.0,Michigan,2.7,11.7,17.3,15.8
2003.0,Minnesota,1.4,8.1,13.6,13.3
2003.0,Mississippi,4.1,16.5,23.2,21.4
2003.0,Missouri,2.0,9.6,15.8,15.6
2003.0,Montana,1.7,7.3,12.5,11.6
2003.0,Nebraska,1.7,8.2,17.2,14.6
2003.0,Nevada,2.3,8.3,12.2,20.4
2003.0,New Hampshire,1.8,6.7,15.6,14.4
2003.0,New Jersey,2.5,9.6,17.3,14.0
2003.0,New Mexico,1.4,7.9,15.3,13.6
2003.0,New York,2.0,11.5,14.5,17.8
2003.0,North Carolina,2.5,11.9,18.1,19.9
2003.0,North Dakota,1.5,6.3,18.6,15.9
2003.0,Ohio,3.2,11.0,22.1,19.7
2003.0,Oklahoma,2.4,10.0,16.3,14.8
2003.0,Oregon,1.4,8.5,18.6,13.3
2003.0,Pennsylvania,1.9,10.8,19.0,17.9
2003.0,Rhode Island,1.8,8.3,19.9,16.4
2003.0,South Carolina,3.1,14.6,18.3,18.4
2003.0,South Dakota,2.0,8.6,17.4,17.7
2003.0,Tennessee,4.5,13.6,17.2,15.5
2003.0,Texas,3.2,13.3,16.2,16.4
2003.0,Utah,1.5,9.0,18.3,15.9
2003.0,Vermont,2.3,6.7,12.2,14.9
2003.0,Virginia,2.2,11.1,15.6,16.2
2003.0,Washington,2.3,9.2,14.8,16.9
2003.0,West Virginia,3.4,12.7,18.5,20.1
2003.0,Wisconsin,1.4,8.2,16.7,13.9
2003.0,Wyoming,1.8,8.1,15.8,10.6
2003.0,Guam,4.3,18.2,32.4,
2003.0,Puerto Rico,2.4,16.5,32.3,23.7
2003.0,Virgin Islands of the U.S.,2.2,15.1,28.9,
2004.0,Hawaii,,,,
2004.0,Guam,,,,
2004.0,Alabama,2.9,10.7,20.1,16.7
2004.0,Alaska,1.2,7.3,10.0,8.7
2004.0,Arizona,2.4,8.4,17.0,15.1
2004.0,Arkansas,2.1,11.0,16.4,10.6
2004.0,California,2.3,10.2,19.5,17.7
2004.0,Colorado,1.4,6.7,10.9,10.8
2004.0,Connecticut,2.0,7.2,15.0,14.4
2004.0,Delaware,3.3,8.0,20.3,12.2
